価格,階数,築年月,占有面積,間取り,交通,所在地,平米単価,管理費,修繕積立金,建物名,建物構造,総戸数,駐車場,バイク置き場,ペット,土地権利,管理形態
"5,680万円",10階建 / 10階,"1998年7月
(築22年11ヶ月)",39.03m²,１ＬＤＫ,"
			都営三田線 / 春日駅 徒歩1分
							（電車ルート案内）
										
				都営大江戸線 / 春日駅 徒歩2分
									（電車ルート案内）
														
				東京メトロ南北線 / 後楽園駅 徒歩2分
									（電車ルート案内）
									","
			東京都文京区本郷４丁目
							（地図を見る）
					",145.53万円,"8,000円","3,600円",プレジール本郷ステーションプラザ,ＲＣ,33戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理（日本ハウズイング株式会社）
						"
"5,680万円",10階建 / 10階,"1998年7月
(築22年11ヶ月)",39.03m²,１ＬＤＫ,"
			都営三田線 / 春日駅 徒歩1分
							（電車ルート案内）
										
				都営大江戸線 / 春日駅 徒歩2分
									（電車ルート案内）
														
				東京メトロ丸ノ内線 / 後楽園駅 徒歩2分
									（電車ルート案内）
									","
			東京都文京区本郷４丁目
							（地図を見る）
					",145.53万円,"8,000円","3,600円",プレジール本郷ステーションプラザ 1003,ＲＣ,33戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（日本ハウズイング株式会社）
						"
"5,680万円",10階建 / 10階,"1998年7月
(築22年11ヶ月)",39.03m²,１ＬＤＫ,"
			都営三田線 / 春日駅 徒歩1分
							（電車ルート案内）
										
				東京メトロ南北線 / 後楽園駅 徒歩2分
									（電車ルート案内）
												","
			東京都文京区本郷４丁目
					",145.53万円,"8,000円","3,600円",プレジール本郷ステーションプラザ,ＲＣ,32戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"5,680万円",10階建 / 10階,"1998年7月
(築22年11ヶ月)",39.03m²,１ＬＤＫ,"
			都営三田線 / 春日駅 徒歩1分
							（電車ルート案内）
										
				都営大江戸線 / 春日駅 徒歩2分
									（電車ルート案内）
														
				東京メトロ丸ノ内線 / 後楽園駅 徒歩2分
									（電車ルート案内）
									","
			東京都文京区本郷４丁目
							（地図を見る）
					",145.53万円,"8,000円","3,600円",プレジ－ル本郷ステ－ションプラザ,ＲＣ,33戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,680万円",10階建 / 10階,"1998年7月
(築22年11ヶ月)",39.03m²,１ＬＤＫ,"
			都営三田線 / 春日駅 徒歩1分
							（電車ルート案内）
										
				東京メトロ丸ノ内線 / 後楽園駅 徒歩2分
									（電車ルート案内）
														
				ＪＲ総武線 / 水道橋駅 徒歩12分
									（電車ルート案内）
									","
			東京都文京区本郷４丁目
							（地図を見る）
					",145.53万円,"8,000円","3,600円",プレジール本郷ステーションプラザ,ＲＣ,－,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,680万円",10階建 / 10階,"1998年7月
(築22年11ヶ月)",39.03m²,１ＬＤＫ,"
			都営三田線 / 春日駅 徒歩1分
							（電車ルート案内）
										
				都営大江戸線 / 春日駅 徒歩2分
									（電車ルート案内）
														
				東京メトロ南北線 / 後楽園駅 徒歩2分
									（電車ルート案内）
									","
			東京都文京区本郷４丁目
							（地図を見る）
					",145.53万円,"8,000円","3,600円",プレジール本郷ステーションプラザ,ＲＣ,33戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,680万円",10階建 / 10階,"1998年7月
(築22年11ヶ月)",39.03m²,１ＬＤＫ,"
			都営三田線 / 春日駅 徒歩1分
							（電車ルート案内）
										
				都営大江戸線 / 春日駅 徒歩2分
									（電車ルート案内）
														
				東京メトロ丸ノ内線 / 後楽園駅 徒歩2分
									（電車ルート案内）
									","
			東京都文京区本郷４丁目
							（地図を見る）
					",145.53万円,"8,000円","3,600円",プレジール本郷ステーションプラザ,ＲＣ,33戸,－,－,"
									－
							",所有権,"
									巡回管理
						"
"5,680万円",10階建 / 10階,"1998年7月
(築22年11ヶ月)",39.03m²,１ＬＤＫ,"
			都営三田線 / 春日駅 徒歩2分
							（電車ルート案内）
										
				都営大江戸線 / 春日駅 徒歩2分
									（電車ルート案内）
														
				東京メトロ南北線 / 後楽園駅 徒歩3分
									（電車ルート案内）
									","
			東京都文京区本郷４丁目
							（地図を見る）
					",145.53万円,"8,000円","3,600円",プレジール本郷ステーションプラザ,ＲＣ,33戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,680万円",10階建 / 10階,"1998年7月
(築22年11ヶ月)",39.03m²,１ＬＤＫ,"
			都営三田線 / 春日駅 徒歩3分
							（電車ルート案内）
										
				東京メトロ南北線 / 後楽園駅 徒歩3分
									（電車ルート案内）
														
				東京メトロ丸ノ内線 / 後楽園駅 徒歩3分
									（電車ルート案内）
									","
			東京都文京区本郷４丁目
							（地図を見る）
					",145.53万円,"8,000円","3,600円",プレジール本郷ステーションプラザ　１０階,ＲＣ,33戸,無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,680万円",地上7階地下2階建 / 3階,"1983年10月
(築37年8ヶ月)",45.63m²,１ＬＤＫ,"
			東京メトロ千代田線 / 乃木坂駅 徒歩7分
							（電車ルート案内）
										
				東京メトロ半蔵門線 / 青山一丁目駅 徒歩9分
									（電車ルート案内）
														
				東京メトロ千代田線 / 赤坂駅 徒歩8分
									（電車ルート案内）
									","
			東京都港区赤坂７丁目
							（地図を見る）
					",124.48万円,"15,100円","6,800円",インペリアル赤坂フォーラム,ＳＲＣ,212戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,680万円",15階建 / 7階,"1982年1月
(築39年5ヶ月)",66.00m²,３ＬＤＫ,"
			ＪＲ山手線 / 田町駅 徒歩9分
							（電車ルート案内）
										
				都営三田線 / 三田駅 徒歩10分
									（電車ルート案内）
												","
			東京都港区芝浦４丁目
					",86.07万円,"12,500円","14,220円",三田ナショナルコート,ＳＲＣ,414戸,無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,799万円",5階建 / 4階,"1978年11月
(築42年7ヶ月)",62.48m²,２ＬＤＫ,"
			都営大江戸線 / 麻布十番駅 徒歩10分
							（電車ルート案内）
										
				東京メトロ南北線 / 白金高輪駅 徒歩10分
									（電車ルート案内）
														
				都営三田線 / 白金高輪駅 徒歩10分
									（電車ルート案内）
									","
			東京都港区三田２丁目
							（地図を見る）
					",92.82万円,"4,000円",－,セントラル三田,ＲＣ,30戸,空無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"5,799万円",5階建 / 4階,"1978年11月
(築42年7ヶ月)",62.48m²,２ＬＤＫ,"
			都営大江戸線 / 麻布十番駅 徒歩10分
							（電車ルート案内）
										
				都営三田線 / 白金高輪駅 徒歩10分
									（電車ルート案内）
												","
			東京都港区三田２丁目
							（地図を見る）
					",92.82万円,"4,000円",－,セントラル三田,ＲＣ,30戸,－,－,"
									－
							",所有権,"
									巡回管理
						"
"5,799万円",5階建 / 4階,"1978年11月
(築42年7ヶ月)",62.48m²,２ＬＤＫ,"
			都営大江戸線 / 麻布十番駅 徒歩10分
							（電車ルート案内）
										
				都営三田線 / 白金高輪駅 徒歩10分
									（電車ルート案内）
												","
			東京都港区三田２丁目
							（地図を見る）
					",92.82万円,"4,000円",なし,セントラル三田,ＲＣ,30戸,空無,－,"
									－
							",所有権,"
									全部委託・巡回管理（セントラル管理株式会社）
						"
"5,799万円",5階建 / 4階,"1978年11月
(築42年7ヶ月)",62.48m²,２ＬＤＫ,"
			都営大江戸線 / 麻布十番駅 徒歩10分
							（電車ルート案内）
										
				東京メトロ南北線 / 白金高輪駅 徒歩10分
									（電車ルート案内）
														
				都営大江戸線 / 赤羽橋駅 徒歩15分
									（電車ルート案内）
									","
			東京都港区三田２丁目
					",92.82万円,"4,000円",－,セントラル三田,ＲＣ,30戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"5,799万円",5階建 / メゾネット4階～5階部分,"1978年11月
(築42年7ヶ月)",62.48m²,２ＬＤＫ,"
			東京メトロ南北線 / 麻布十番駅 徒歩10分
							（電車ルート案内）
										
				都営大江戸線 / 麻布十番駅 徒歩10分
									（電車ルート案内）
														
				東京メトロ南北線 / 白金高輪駅 徒歩10分
									（電車ルート案内）
									","
			東京都港区三田２丁目
							（地図を見る）
					",92.82万円,"4,000円",－,セントラル三田 ０４０１,ＲＣ,30戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"5,799万円",5階建 / 4階,"1978年11月
(築42年7ヶ月)",62.48m²,２ＬＤＫ,"
			都営大江戸線 / 麻布十番駅 徒歩10分
							（電車ルート案内）
										
				都営三田線 / 白金高輪駅 徒歩10分
									（電車ルート案内）
														
				東京メトロ南北線 / 白金高輪駅 徒歩10分
									（電車ルート案内）
									","
			東京都港区三田２丁目
							（地図を見る）
					",92.82万円,"4,000円",－,セントラル三田,ＲＣ,30戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"5,799万円",5階建 / 4階,"1978年11月
(築42年7ヶ月)",62.48m²,２ＬＤＫ,"
			ＪＲ山手線 / 田町駅 徒歩15分
							（電車ルート案内）
										
				東京メトロ南北線 / 麻布十番駅 徒歩10分
									（電車ルート案内）
														
				東京メトロ南北線 / 白金高輪駅 徒歩10分
									（電車ルート案内）
									","
			東京都港区三田２丁目
							（地図を見る）
					",92.82万円,"4,000円",－,セントラル三田 ４０１号室,ＲＣ,30戸,空無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"5,799万円",9階建 / 4階,"1973年2月
(築48年4ヶ月)",51.23m²,１ＬＤＫ,"
			ＪＲ山手線 / 目黒駅 徒歩4分
							（電車ルート案内）
										
				東急目黒線 / 目黒駅 徒歩4分
									（電車ルート案内）
														
				東京メトロ南北線 / 目黒駅 徒歩4分
									（電車ルート案内）
									","
			東京都目黒区下目黒１丁目
							（地図を見る）
					",113.20万円,"11,830円","8,861円",マンション下目黒苑,ＳＲＣ,28戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,800万円",地上30階地下1階建 / 18階,"1990年11月
(築30年7ヶ月)",105.36m²,４ＬＤＫ,"
			東京メトロ千代田線 / 北千住駅 徒歩13分
							（電車ルート案内）
										
				京成本線 / 京成関屋駅 徒歩2分
									（電車ルート案内）
														
				東武伊勢崎線 / 牛田駅 徒歩3分
									（電車ルート案内）
									","
			東京都足立区千住曙町
							（地図を見る）
					",55.05万円,"18,400円","24,820円",シテヌーブ北千住３０Ａ棟,ＳＲＣ,223戸,－,－,"
									－
							",所有権,"
									日勤管理
						"
"5,800万円",14階建 / 12階,"2008年11月
(築12年7ヶ月)",71.74m²,３ＬＤＫ,"
			東武伊勢崎線 / 牛田駅 徒歩2分
							（電車ルート案内）
										
				京成本線 / 京成関屋駅 徒歩2分
									（電車ルート案内）
														
				ＪＲ常磐線 / 北千住駅 徒歩10分
									（電車ルート案内）
									","
			東京都足立区千住東２丁目
					",80.85万円,"9,800円","19,070円",ヴィークステージ北千住イーストレジデンス,ＲＣ,69戸,"有 27,000円/月",－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,800万円",14階建 / 14階,"2011年8月
(築9年10ヶ月)",72.42m²,３ＬＤＫ,"
			東武東上線 / 成増駅 徒歩8分
							（電車ルート案内）
										
				東京メトロ有楽町線 / 地下鉄成増駅 徒歩9分
									（電車ルート案内）
														
				東京メトロ副都心線 / 地下鉄成増駅 徒歩9分
									（電車ルート案内）
									","
			東京都板橋区成増３丁目
							（地図を見る）
					",80.09万円,"12,054円","9,780円",シティテラス成増,ＲＣ,243戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,800万円",地上23階地下1階建 / 7階,"1993年2月
(築28年4ヶ月)",81.65m²,２ＬＤＫ,"
			東急多摩川線 / 鵜の木駅 徒歩7分
							（電車ルート案内）
											","
			東京都大田区下丸子４丁目
							（地図を見る）
					",71.04万円,"20,900円","15,500円", ,ＲＣ,93戸,"有 24,000円/月","有 2,500円/月","
									－
							",所有権,"
									全部委託・常駐管理
						"
"5,800万円",地上23階地下1階建 / 7階,"1993年2月
(築28年4ヶ月)",81.65m²,２ＬＤＫ,"
			東急多摩川線 / 鵜の木駅 徒歩7分
							（電車ルート案内）
											","
			東京都大田区下丸子４丁目
					",71.04万円,"20,900円","15,500円",パークハウス多摩川南参番館,ＲＣ,93戸,"有 24,000円/月",－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"5,800万円",13階建 / 3階,"2000年9月
(築20年9ヶ月)",81.76m²,４ＬＤＫ,"
			東京メトロ南北線 / 王子神谷駅 徒歩2分
							（電車ルート案内）
											","
			東京都北区神谷１丁目
					",70.94万円,"14,700円","13,810円",日神パレステージ王子神谷,ＳＲＣ,38戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,800万円",地上27階地下1階建 / 14階,"2006年2月
(築15年4ヶ月)",70.08m²,１ＳＬＤＫ,"
			新交通ゆりかもめ / 有明テニスの森駅 徒歩7分
							（電車ルート案内）
											","
			東京都江東区有明１丁目
					",82.77万円,"16,360円","13,170円",ガレリア・グランデ,ＲＣ造・鉄骨造,413戸,"有 24,000円/月",－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,800万円",14階建 / 11階,"2014年2月
(築7年4ヶ月)",71.19m²,３ＬＤＫ,"
			東京メトロ東西線 / 東陽町駅 徒歩10分
							（電車ルート案内）
										
				東京メトロ有楽町線 / 豊洲駅【バス】 14分 東陽橋南 停歩5分
									（電車ルート案内）
												","
			東京都江東区塩浜２丁目
							（地図を見る）
					",81.48万円,"13,700円","8,120円",オーベル東陽町ファインレジデンス,ＲＣ,143戸,空無,"有 1,000円/月","
															相談												",所有権,"
									全部委託・日勤管理
						"
"5,800万円",10階建 / 1階,"2017年9月
(築3年9ヶ月)",67.23m²,３ＬＤＫ,"
			東京メトロ東西線 / 木場駅 徒歩13分
							（電車ルート案内）
										
				東京メトロ半蔵門線 / 清澄白河駅 徒歩18分
									（電車ルート案内）
												","
			東京都江東区千石１丁目
					",86.28万円,"12,030円","8,210円",サンクレイドル木場公園二,ＲＣ,47戸,－,－,"
									－
							",所有権,"
									日勤管理
						"
"5,800万円",地上20階地下1階建 / 9階,"2012年1月
(築9年5ヶ月)",48.07m²,１ＬＤＫ,"
			東京メトロ丸ノ内線 / 西新宿駅 徒歩6分
							（電車ルート案内）
											","
			東京都新宿区北新宿２丁目
							（地図を見る）
					",120.66万円,"15,720円","6,830円", ,ＲＣ,298戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理（三菱地所コミュニティ株式会社）
						"
"5,800万円",10階建 / 4階,"2007年6月
(築14年)",51.02m²,１ＳＬＤＫ,"
			ＪＲ総武線 / 浅草橋駅 徒歩1分
							（電車ルート案内）
										
				都営浅草線 / 浅草橋駅 徒歩4分
									（電車ルート案内）
														
				東京メトロ日比谷線 / 秋葉原駅 徒歩7分
									（電車ルート案内）
									","
			東京都千代田区東神田３丁目
							（地図を見る）
					",113.69万円,"16,280円","9,180円",ドルチェ秋葉原ＥＡＳＴ,ＲＣ,32戸,無,無,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"5,800万円",10階建 / 4階,"2007年6月
(築14年)",51.02m²,１ＬＤＫ,"
			ＪＲ総武線 / 浅草橋駅 徒歩1分
							（電車ルート案内）
										
				都営浅草線 / 浅草橋駅 徒歩4分
									（電車ルート案内）
														
				ＪＲ総武線 / 秋葉原駅 徒歩8分
									（電車ルート案内）
									","
			東京都千代田区東神田３丁目
							（地図を見る）
					",113.69万円,"16,280円","9,180円",ドルチェ秋葉原,ＲＣ,32戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理（JR西日本住宅サービス（株））
						"
"5,800万円",地上26階地下4階建 / 11階,"1994年11月
(築26年7ヶ月)",55.34m²,１ＬＤＫ,"
			ＪＲ中央線 / 中野駅 徒歩3分
							（電車ルート案内）
										
				ＪＲ総武線 / 中野駅 徒歩3分
									（電車ルート案内）
														
				東京メトロ東西線 / 中野駅 徒歩3分
									（電車ルート案内）
									","
			東京都中野区中野４丁目
							（地図を見る）
					",104.81万円,"19,478円","11,454円", ,ＳＲＣ,144戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理（株式会社なかのサンクォーレ）
						"
"5,800万円",地上26階地下4階建 / 11階,"1994年11月
(築26年7ヶ月)",55.34m²,１ＬＤＫ,"
			ＪＲ中央線 / 中野駅 徒歩3分
							（電車ルート案内）
										
				ＪＲ総武線 / 中野駅 徒歩3分
									（電車ルート案内）
														
				東京メトロ東西線 / 中野駅 徒歩3分
									（電車ルート案内）
									","
			東京都中野区中野４丁目
							（地図を見る）
					",104.81万円,"19,478円","11,454円",なかのサンクォーレ,ＳＲＣ,144戸,－,－,"
									－
							",所有権,"
									日勤管理
						"
"5,800万円",7階建 / 6階,"1977年5月
(築44年1ヶ月)",70.05m²,１ＳＬＤＫ,"
			東京メトロ丸ノ内線 / 後楽園駅 徒歩9分
							（電車ルート案内）
										
				都営大江戸線 / 春日駅 徒歩10分
									（電車ルート案内）
														
				ＪＲ総武線 / 飯田橋駅 徒歩11分
									（電車ルート案内）
									","
			東京都文京区春日１丁目
					",82.80万円,"11,670円","12,616円",安藤坂東方マンション,ＲＣ,110戸,空無,空無,"
															細則あり												",所有権,"
									全部委託・日勤管理（株式会社ウエスコ）
						"
"5,800万円",8階建 / 6階,"2014年2月
(築7年4ヶ月)",71.56m²,４ＬＤＫ,"
			ＪＲ中央線 / 三鷹駅 徒歩11分
							（電車ルート案内）
											","
			東京都三鷹市下連雀３丁目
							（地図を見る）
					",81.06万円,"13,900円","10,210円",パレステージ三鷹,ＲＣ,26戸,－,－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"5,800万円",8階建 / 6階,"2014年2月
(築7年4ヶ月)",71.56m²,４ＬＤＫ,"
			ＪＲ中央線 / 三鷹駅 徒歩11分
							（電車ルート案内）
										
				ＪＲ総武線 / 三鷹駅 徒歩11分
									（電車ルート案内）
														
				京王井の頭線 / 吉祥寺駅 徒歩23分
									（電車ルート案内）
									","
			東京都三鷹市下連雀３丁目
							（地図を見る）
					",81.06万円,"13,900円","10,210円",パレステージ三鷹,ＲＣ,26戸,－,－,"
															小型犬可 											猫可												",所有権,"
									全部委託・日勤管理（日神管財）
						"
"5,800万円",8階建 / 4階,"2004年2月
(築17年4ヶ月)",86.99m²,４ＬＤＫ,"
			ＪＲ総武線 / 吉祥寺駅【バス】 20分 新川バス 停歩1分
							（電車ルート案内）
										
				ＪＲ総武線 / 吉祥寺駅 徒歩31分
									（電車ルート案内）
												","
			東京都三鷹市下連雀８丁目
					",66.68万円,"11,100円","21,700円",オーベル吉祥寺ＥＡＳＴ,ＲＣ,74戸,"有 8,000円/月",－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,800万円",13階建 / 2階,"1982年2月
(築39年4ヶ月)",58.24m²,２ＬＤＫ,"
			都営浅草線 / 泉岳寺駅 徒歩6分
							（電車ルート案内）
										
				ＪＲ山手線 / 高輪ゲートウェイ駅 徒歩13分
									（電車ルート案内）
														
				ＪＲ山手線 / 田町駅 徒歩13分
									（電車ルート案内）
									","
			東京都港区芝浦４丁目
							（地図を見る）
					",99.59万円,"11,500円","8,300円",ソレイユ田町 ２階,ＳＲＣ,66戸,－,有,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,800万円",13階建 / 2階,"1982年1月
(築39年5ヶ月)",58.24m²,２ＬＤＫ,"
			ＪＲ山手線 / 田町駅 徒歩13分
							（電車ルート案内）
										
				都営浅草線 / 泉岳寺駅 徒歩6分
									（電車ルート案内）
														
				ＪＲ山手線 / 高輪ゲートウェイ駅 徒歩13分
									（電車ルート案内）
									","
			東京都港区芝浦４丁目
							（地図を見る）
					",99.59万円,"11,500円","8,300円",ソレイユ田町,ＳＲＣ,66戸,空無,－,"
									－
							",所有権,"
									一部委託・常駐管理
						"
"5,800万円",13階建 / 2階,"1982年1月
(築39年5ヶ月)",58.24m²,２ＬＤＫ,"
			ＪＲ山手線 / 高輪ゲートウェイ駅 徒歩13分
							（電車ルート案内）
										
				ＪＲ山手線 / 田町駅 徒歩14分
									（電車ルート案内）
												","
			東京都港区芝浦４丁目
							（地図を見る）
					",99.59万円,"11,500円","8,300円",ソレイユ田町,ＲＣ,66戸,－,－,"
									－
							",所有権,"
									日勤管理
						"
"5,800万円",13階建 / 2階,"1982年1月
(築39年5ヶ月)",58.42m²,２ＬＤＫ,"
			ＪＲ山手線 / 田町駅 徒歩13分
							（電車ルート案内）
										
				都営浅草線 / 泉岳寺駅 徒歩6分
									（電車ルート案内）
														
				ＪＲ山手線 / 高輪ゲートウェイ駅 徒歩13分
									（電車ルート案内）
									","
			東京都港区芝浦４丁目
					",99.29万円,"11,500円","8,300円",ソレイユ田町,鉄骨造,66戸,－,－,"
									－
							",所有権,"
									一部委託・常駐管理
						"
"5,950万円",14階建 / 2階,"1999年4月
(築22年2ヶ月)",75.01m²,２ＳＬＤＫ,"
			東武東上線 / 北池袋駅 徒歩9分
							（電車ルート案内）
										
				ＪＲ山手線 / 池袋駅 徒歩13分
									（電車ルート案内）
												","
			東京都豊島区池袋本町１丁目
							（地図を見る）
					",79.33万円,"15,021円","17,085円",ドラゴンマンション池袋壱番館,ＳＲＣ,67戸,－,－,"
									－
							",所有権,"
									日勤管理
						"
"5,970万円",14階建 / 13階,"2014年3月
(築7年3ヶ月)",52.97m²,２ＬＤＫ,"
			都営大江戸線 / 両国駅 徒歩3分
							（電車ルート案内）
										
				ＪＲ総武線 / 両国駅 徒歩5分
									（電車ルート案内）
														
				都営新宿線 / 森下駅 徒歩10分
									（電車ルート案内）
									","
			東京都墨田区両国４丁目
							（地図を見る）
					",112.71万円,"8,500円","7,150円",アイル両国参番館,ＲＣ,50戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,970万円",地上5階地下1階建 / 5階,"2003年10月
(築17年8ヶ月)",54.34m²,２ＬＤＫ,"
			東急大井町線 / 等々力駅 徒歩6分
							（電車ルート案内）
											","
			東京都世田谷区野毛１丁目
							（地図を見る）
					",109.87万円,"12,940円","14,350円",レ・ベント等々力,ＲＣ,55戸,"有 23,000円/月",－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"5,980万円",8階建 / 1階,"2016年10月
(築4年8ヶ月)",49.02m²,２ＬＤＫ,"
			東京メトロ日比谷線 / 北千住駅 徒歩6分
							（電車ルート案内）
										
				京成本線 / 千住大橋駅 徒歩9分
									（電車ルート案内）
														
				東武伊勢崎線 / 牛田駅 徒歩13分
									（電車ルート案内）
									","
			東京都足立区千住仲町
							（地図を見る）
					",122万円,"9,400円","2,820円",デュオステージ北千住,ＲＣ,50戸,－,－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"5,980万円",地上30階地下1階建 / 19階,"2002年1月
(築19年5ヶ月)",101.09m²,４ＬＤＫ,"
			東京メトロ日比谷線 / 三ノ輪駅 徒歩7分
							（電車ルート案内）
										
				都電荒川線 / 荒川一中前駅 徒歩2分
									（電車ルート案内）
														
				ＪＲ常磐線 / 三河島駅 徒歩12分
									（電車ルート案内）
									","
			東京都荒川区荒川１丁目
							（地図を見る）
					",59.16万円,"18,170円","34,700円",東京アルバタワー,ＲＣ,170戸,"有 33,000円/月",－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"5,980万円",13階建 / 8階,"2019年12月
(築1年6ヶ月)",53.77m²,２ＳＬＤＫ,"
			ＪＲ山手線 / 西日暮里駅 徒歩5分
							（電車ルート案内）
										
				東京メトロ千代田線 / 西日暮里駅 徒歩6分
									（電車ルート案内）
												","
			東京都荒川区西日暮里６丁目
							（地図を見る）
					",111.22万円,"12,857円","5,380円",プレシス西日暮里,ＲＣ,72戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"5,980万円",14階建 / 13階,"2015年1月
(築6年5ヶ月)",58.89m²,２ＬＤＫ,"
			ＪＲ山手線 / 日暮里駅 徒歩5分
							（電車ルート案内）
										
				ＪＲ京浜東北線 / 日暮里駅 徒歩5分
									（電車ルート案内）
														
				京成本線 / 日暮里駅 徒歩5分
									（電車ルート案内）
									","
			東京都荒川区東日暮里５丁目
					",101.55万円,"12,500円","11,500円",アトラス日暮里,ＲＣ,83戸,－,－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"5,980万円",14階建 / 11階,"2017年9月
(築3年9ヶ月)",53.84m²,２ＬＤＫ,"
			ＪＲ山手線 / 日暮里駅 徒歩8分
							（電車ルート案内）
										
				ＪＲ京浜東北線 / 日暮里駅 徒歩8分
									（電車ルート案内）
														
				ＪＲ山手線 / 鶯谷駅 徒歩6分
									（電車ルート案内）
									","
			東京都荒川区東日暮里５丁目
							（地図を見る）
					",111.07万円,"13,910円","5,110円",アトラス日暮里イーストレジデンス,ＲＣ,90戸,－,－,"
															小型犬可 											猫可												",所有権,"
									全部委託・日勤管理
						"
"5,980万円",14階建 / 4階,"1997年4月
(築24年2ヶ月)",72.53m²,３ＬＤＫ,"
			ＪＲ山手線 / 日暮里駅 徒歩4分
							（電車ルート案内）
										
				ＪＲ京浜東北線 / 日暮里駅 徒歩4分
									（電車ルート案内）
														
				京成本線 / 日暮里駅 徒歩4分
									（電車ルート案内）
									","
			東京都荒川区東日暮里６丁目
							（地図を見る）
					",82.45万円,"11,700円","19,950円",モリス日暮里駅前 ４０４,ＳＲＣ,94戸,空無,"有 3,000円/月","
															相談												",旧法賃借権,"
									全部委託・日勤管理
						"
"5,980万円",14階建 / 4階,"1997年4月
(築24年2ヶ月)",72.53m²,３ＬＤＫ,"
			ＪＲ山手線 / 日暮里駅 徒歩4分
							（電車ルート案内）
											","
			東京都荒川区東日暮里６丁目
							（地図を見る）
					",82.45万円,"11,700円","19,950円",モリス日暮里駅前,ＳＲＣ,94戸,－,－,"
									－
							",旧法賃借権,"
									日勤管理
						"
"5,980万円",14階建 / 4階,"1997年4月
(築24年2ヶ月)",72.53m²,３ＬＤＫ,"
			ＪＲ山手線 / 日暮里駅 徒歩4分
							（電車ルート案内）
										
				ＪＲ常磐線 / 日暮里駅 徒歩4分
									（電車ルート案内）
														
				京成本線 / 日暮里駅 徒歩4分
									（電車ルート案内）
									","
			東京都荒川区東日暮里６丁目
							（地図を見る）
					",82.45万円,"11,700円","19,950円",モリス日暮里駅前,ＳＲＣ,94戸,"有 28,000円/月",－,"
									－
							",旧法賃借権,"
									全部委託・日勤管理
						"
"5,980万円",14階建 / 4階,"1997年4月
(築24年2ヶ月)",72.53m²,３ＬＤＫ,"
			ＪＲ山手線 / 日暮里駅 徒歩4分
							（電車ルート案内）
										
				ＪＲ常磐線 / 三河島駅 徒歩11分
									（電車ルート案内）
														
				京成本線 / 新三河島駅 徒歩15分
									（電車ルート案内）
									","
			東京都荒川区東日暮里６丁目
							（地図を見る）
					",82.45万円,"11,700円","19,950円",モリス日暮里駅前 ４０４号室,ＳＲＣ,94戸,空無,"有 3,000円/月","
															相談												",旧法賃借権,"
									全部委託・日勤管理
						"
"5,980万円",12階建 / 10階,"2013年4月
(築8年2ヶ月)",65.15m²,３ＬＤＫ,"
			ＪＲ埼京線 / 板橋駅 徒歩4分
							（電車ルート案内）
										
				都営三田線 / 新板橋駅 徒歩1分
									（電車ルート案内）
														
				東武東上線 / 下板橋駅 徒歩8分
									（電車ルート案内）
									","
			東京都板橋区板橋１丁目
							（地図を見る）
					",91.79万円,"13,620円","10,480円",ロワール板橋,ＲＣ,35戸,空無,有,"
															相談												",所有権,"
									巡回管理
						"
