,price,occupancy_area,room_layout,address,management_expenses,reserve_fund_for_repairs,building_structure,total_number_of_houses,parking,bike_parking,pet,land_rights,management,rank,floor_number,building_age,route,station,walk_distance,running_cost,parking_cost
4411,83800000,53.43,２ＬＤＫ,港区,11590,8290,ＳＲＣ,63,有,有,相談,所有権,全部委託・日勤管理,13,7,21,東京メトロ日比谷線, 六本木駅,9,19880,29000
4412,83800000,53.43,２ＬＤＫ,港区,11590,8290,ＳＲＣ,63,,,細則有,所有権,全部委託・日勤管理,13,7,21,東京メトロ日比谷線, 六本木駅,9,19880,
4413,83800000,60.55,１ＬＤＫ,目黒区,11570,12900,ＲＣ,203,有,,相談,所有権,全部委託・日勤管理,11,9,11,東急目黒線, 不動前駅,5,24470,35000
4414,83800000,64.4,２ＬＤＫ,目黒区,20300,7730,ＲＣ,30,空無,,相談,所有権,全部委託・日勤管理,3,1,2,東急東横線, 祐天寺駅,10,28030,
4415,83800000,64.4,２ＬＤＫ,目黒区,20300,7730,ＲＣ,31,空無,,相談,所有権,全部委託・日勤管理,3,1,2,東急東横線, 祐天寺駅,10,28030,
4416,83800000,64.4,２ＬＤＫ,目黒区,20300,7730,ＲＣ,31,空無,空無,相談,所有権,全部委託・日勤管理,3,1,2,東急東横線, 祐天寺駅,10,28030,
4417,83800000,76.46,１ＬＤＫ,目黒区,21300,23930,ＲＣ,33,,,,所有権,,3,2,21,東急東横線, 都立大学駅,8,45230,
4418,83900000,77.83,２ＬＤＫ,品川区,12100,12300,ＲＣ,73,,,相談,所有権,,14,10,16,東急目黒線, 武蔵小山駅,4,24400,
4419,83980000,82.37,２ＬＤＫ,品川区,18950,18950,ＲＣ,120,有,空無,相談,所有権,全部委託・日勤管理,20,13,16,都営浅草線, 戸越駅,5,37900,35000
4420,83980000,82.37,２ＬＤＫ,品川区,18950,18950,ＲＣ,120,,,相談,所有権,,20,13,16,都営浅草線, 戸越駅,5,37900,
4421,83980000,82.37,２ＬＤＫ,品川区,18950,18950,ＲＣ,120,空無,有,相談,所有権,全部委託・日勤管理,20,13,16,都営浅草線, 戸越駅,5,37900,
